咪咕赛事,#genre#
咪咕-赛事1,http://120.197.253.254:1818/rtp/239.20.0.45:3224
咪咕-赛事2,http://113.106.171.234:8899/rtp/239.20.0.44:3228
咪咕-赛事3,http://113.106.171.234:8899/rtp/239.20.0.43:3232
咪咕-赛事4,http://113.106.171.234:8899/rtp/239.20.0.14:3348
咪咕-赛事5,http://113.106.171.234:8899/rtp/239.20.0.13:3352
咪咕-赛事6,http://113.106.171.234:8899/rtp/239.20.0.12:3356
咪咕-赛事7,http://113.106.171.234:8899/rtp/239.20.0.11:3360
咪咕-赛事8,http://113.106.171.234:8899/rtp/239.20.0.10:3364
咪咕-赛事9,http://113.106.171.234:8899/rtp/239.20.0.09:3368
咪咕-赛事10,http://113.106.171.234:8899/rtp/239.21.0.10:3380
咪咕-赛事11,http://113.106.171.234:8899/rtp/239.21.0.11:3384
咪咕-赛事12,http://113.106.171.234:8899/rtp/239.21.0.12:3388
咪咕-赛事13,http://113.106.171.234:8899/rtp/239.21.0.13:3392
咪咕-赛事14,http://113.106.171.234:8899/rtp/239.21.0.14:3396
咪咕-赛事15,http://113.106.171.234:8899/rtp/239.21.0.15:3400
咪咕-赛事16,http://113.106.171.234:8899/rtp/239.21.0.16:3404
咪咕-赛事17,http://113.106.171.234:8899/rtp/239.21.0.17:3408
咪咕-赛事18,http://113.106.171.234:8899/rtp/239.21.0.18:3412
咪咕-赛事19,http://113.106.171.234:8899/rtp/239.21.0.19:3416
咪咕-赛事20,http://113.106.171.234:8899/rtp/239.21.0.20:3420
咪咕-赛事21,http://113.106.171.234:8899/rtp/239.21.0.21:3424
咪咕-赛事22,http://113.106.171.234:8899/rtp/239.21.0.22:3428
咪咕-赛事23,http://113.106.171.234:8899/rtp/239.21.0.23:3432
咪咕-赛事25,http://113.106.171.234:8899/rtp/239.21.0.29:3456
咪咕-赛事26,http://113.106.171.234:8899/rtp/239.21.0.30:3460
咪咕-赛事27,http://113.106.171.234:8899/rtp/239.21.0.31:3464
咪咕-赛事28,http://113.106.171.234:8899/rtp/239.21.0.32:3468
咪咕-赛事29,http://113.106.171.234:8899/rtp/239.21.0.33:3472
咪咕4K,http://113.106.171.234:8899/rtp/239.20.0.66:3136

咪咕-赛事1,http://120.197.253.254:1818/rtp/239.20.0.45:3224
咪咕-赛事2,http://120.197.253.254:1818/rtp/239.20.0.44:3228
咪咕-赛事3,http://120.197.253.254:1818/rtp/239.20.0.43:3232
咪咕-赛事4,http://120.197.253.254:1818/rtp/239.20.0.14:3348
咪咕-赛事5,http://120.197.253.254:1818/rtp/239.20.0.13:3352
咪咕-赛事6,http://120.197.253.254:1818/rtp/239.20.0.12:3356
咪咕-赛事7,http://120.197.253.254:1818/rtp/239.20.0.11:3360
咪咕-赛事8,http://120.197.253.254:1818/rtp/239.20.0.10:3364
咪咕-赛事9,http://120.197.253.254:1818/rtp/239.20.0.09:3368
咪咕-赛事10,http://120.197.253.254:1818/rtp/239.21.0.10:3380
咪咕-赛事11,http://120.197.253.254:1818/rtp/239.21.0.11:3384
咪咕-赛事12,http://120.197.253.254:1818/rtp/239.21.0.12:3388
咪咕-赛事13,http://120.197.253.254:1818/rtp/239.21.0.13:3392
咪咕-赛事14,http://120.197.253.254:1818/rtp/239.21.0.14:3396
咪咕-赛事15,http://120.197.253.254:1818/rtp/239.21.0.15:3400
咪咕-赛事16,http://120.197.253.254:1818/rtp/239.21.0.16:3404
咪咕-赛事17,http://120.197.253.254:1818/rtp/239.21.0.17:3408
咪咕-赛事18,http://120.197.253.254:1818/rtp/239.21.0.18:3412
咪咕-赛事19,http://120.197.253.254:1818/rtp/239.21.0.19:3416
咪咕-赛事20,http://120.197.253.254:1818/rtp/239.21.0.20:3420
咪咕-赛事21,http://120.197.253.254:1818/rtp/239.21.0.21:3424
