CR频道,#genre#
METART,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6233/manifest.m3u8
DIGITALDESIRE,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6195/manifest.m3u8
Playboy PLUS,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6242/manifest.m3u8
FEMJOY,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6212/manifest.m3u8
SEXART,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6165/manifest.m3u8
Playboy HD,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6280/manifest.m3u8
clubsweethearts,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6186/manifest.m3u8
EVILANGEL,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6199/manifest.m3u8
Dorcel TV,http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8
Dorcel TV,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/245/manifest.m3u8
Dorcel TV,http://162.19.227.109/701/manifest.m3u8?token=Cdb904d80a
DORCELCLUB,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6197/manifest.m3u8
ADULTTIME,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6166/manifest.m3u8
Nubiles,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6238/manifest.m3u8
NubileFilm,http://206.212.244.47:8080/V9XuWSnyMB/YCPY5ReXiM/160025
Private,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6245/manifest.m3u8
babestv,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6172/manifest.m3u8
TINY4K,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6258/manifest.m3u8
TUSHY,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6261/manifest.m3u8
VIXEN,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6265/manifest.m3u8
Desire,http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8 
Leo TV,http://88.212.7.11/live/test_leo_hd_hevc/playlist.m3u8
Leo TV,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6272/manifest.m3u8
Playboy HD,http://190.11.225.124:5000/live/playboy_hd/playlist.m3u8
Playboy HD,http://200.4.96.59:8829/play/a09q/index.m3u8
DDF network,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6217/manifest.m3u8
CasualTeenSex,http://162.19.227.109/706/manifest.m3u8?token=Cdb904d80a
JapanHDV,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6225/manifest.m3u8
Lesbea,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6227/manifest.m3u8
Brazzers,http://88.212.7.11/live/test_brazzers_hd_hevc/playlist.m3u8 
Eroxxx,http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8
Eroxxx,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/5015/manifest.m3u8
Extasy,http://88.212.7.11/live/test_extasy_hd_hevc/playlist.m3u8
Extasy,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/5014/manifest.m3u8
Extasy,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6201/manifest.m3u8
EroxHD,http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8
EroxHD,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/6296/manifest.m3u8
eXXXotica HD,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/9346/manifest.m3u8
eXXXotica HD,http://31.148.48.15/O-la-la/playlist.m3u8
Russkay HD,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/147/manifest.m3u8
Russkay HD,http://31.148.48.15/Russkaya_Noch/playlist.m3u8
PENTHOUSE Reality,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/5013/manifest.m3u8
PENTHOUSE GOLD,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/5011/manifest.m3u8
PENTHOUSE PASSION,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/5010/manifest.m3u8
XXL,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/5009/manifest.m3u8
Hustler HD,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/244/manifest.m3u8
Hustler TV,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/1064/manifest.m3u8
RedLight HD,http://88b9da48.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/242/manifest.m3u8
GONZO,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/20090/manifest.m3u8
Defloration,http://d029dcec.kazmazpaz.ru/iptv/DVHP2VB5QXL7UC/20089/manifest.m3u8
