央视频道,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV-9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV-10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV-11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV-12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV-13,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV-14,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
CCTV-15,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV-16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV-17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub

CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV-10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV-13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV-14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-15,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV-16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV-17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009

CETV1,http://38.75.136.137:98/gslb/dsdqpub/cetv1hd.m3u8?auth=testpub
CETV2,http://38.75.136.137:98/gslb/dsdqpub/cetv2.m3u8?auth=testpub
CETV3,http://38.75.136.137:98/gslb/dsdqpub/cetv3.m3u8?auth=testpub
CETV4,http://38.75.136.137:98/gslb/dsdqpub/cetv4.m3u8?auth=testpub

CCTV-1,rtmp://39.108.129.193:1935/cctv1/1sao
CCTV-2,rtmp://39.108.129.193:1935/cv2/mx6o_cv2
CCTV-3,rtmp://39.108.129.193:1935/cv3/yxz4_cv3
CCTV-4,rtmp://39.108.129.193:1935/cv4/3wqo_cv4
CCTV-5,rtmp://39.108.129.193:1935/cv5/6mio_cv5
CCTV-6,rtmp://39.108.129.193:1935/cv6/re68_cv6
CCTV-7,rtmp://39.108.129.193:1935/cv7/n6v4_cv7
CCTV-8,rtmp://39.108.129.193:1935/cv8/rreo_cv8
CCTV-9,rtmp://39.108.129.193:1935/cv9/jr0g_cv9
CCTV-10,rtmp://39.108.129.193:1935/cv10/3fy8_cv10
CCTV-11,rtmp://39.108.129.193:1935/cv11/gjnk_cv11
CCTV-12,rtmp://39.108.129.193:1935/cv12/m8w0_cv12
CCTV-13,rtmp://39.108.129.193:1935/cv13/qa9s_cv13
CCTV-14,rtmp://39.108.129.193:1935/cv14/16rk_cv14
CCTV-15,rtmp://39.108.129.193:1935/cv15/zvk0_cv15

CCTV-1,http://119.29.13.205:1234/608807420
CCTV-2,http://119.29.13.205:1234/631780532
CCTV-3,http://119.29.13.205:1234/624878271
CCTV-4,http://119.29.13.205:1234/631780421
CCTV-4欧洲,http://119.29.13.205:1234/608807419
CCTV-4美洲,http://119.29.13.205:1234/608807416
CCTV-5,http://119.29.13.205:1234/641886773
CCTV-5+,http://119.29.13.205:1234/641886773
CCTV-6,http://119.29.13.205:1234/624878396
CCTV-7,http://119.29.13.205:1234/673168121
CCTV-8,http://119.29.13.205:1234/624878356
CCTV-9,http://119.29.13.205:1234/673168140
CCTV-10,http://119.29.13.205:1234/624878405
CCTV-11,http://119.29.13.205:1234/667987558
CCTV-12,http://119.29.13.205:1234/673168185
CCTV-13,http://119.29.13.205:1234/608807423
CCTV-14,http://119.29.13.205:1234/624878440
CCTV-15,http://119.29.13.205:1234/673168223
CCTV-17,http://119.29.13.205:1234/673168256
CETV1,http://119.29.13.205:1234/923287154
CETV2,http://119.29.13.205:1234/923287211
CETV4,http://119.29.13.205:1234/923287339
CGTN,http://119.29.13.205:1234/609017205
CGTN记录,http://119.29.13.205:1234/609006487

CCTV-1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV-2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV-6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV-7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV-10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV-11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV-13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV-14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV-15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV-17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CETV1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CETV2,http://120.76.248.139/live/bfgd/4200000492.m3u8
卫视频道,#genre#
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub
江苏卫视,http://38.75.136.137:98/gslb/dsdqpub/jswshd.m3u8?auth=testpub
